# AcreetionOS Server — Industry Deployment Profiles
# Columns: code | name | description | packages | services | notes
# Apply on top of provider profile to specialize the deployment.

webhost  "Web Hosting"               "LAMP/LEMP stack for shared/reseller hosting"                                 "nginx-mainline apache php-fpm phpmyadmin mariadb redis certbot proftpd"                              "nginx apache mariadb php-fpm"                    "Secure chroot for FTP. Multiple PHP versions via php-fpm pools."
database "Database Server"           "Dedicated MariaDB/PostgreSQL with replication"                                  "mariadb postgresql redis pgadmin3 mycli pgcli percona-tools"                                           "mariadb postgresql redis"                        "Enable binary logging. Tune innodb_buffer_pool to 70% of RAM."
app      "Application Server"        "Node.js/Python/Go app deployment with reverse proxy"                             "nodejs npm python python-pip go rust nginx-mainline gunicorn uwsgi"                                   "nginx node_exporter"                             "Configure nginx as reverse proxy. PM2 for Node.js."
gaming   "Game Server"               "Minecraft/Source/Valheim game servers with low-latency kernel"                 "linux-zen linux-zen-headers steamcmd wine winetricks mumble-server"                                    "mumble-server sshd"                              "Low-latency kernel. CPU governor set to performance. Huge pages."
cicd     "CI/CD Runner"              "GitHub/GitLab/Jenkins runner with Docker"                                       "docker docker-compose buildkit git gh glab jenkins-lts gitlab-runner"                                 "docker containerd gitlab-runner"                 "Mount /var/run/docker.sock. Set concurrent jobs to vCPU count."
monitor  "Monitoring Infrastructure" "Prometheus/Grafana stack with alerting"                                           "prometheus grafana node_exporter alertmanager blackbox_exporter snmp_exporter"                        "prometheus grafana node_exporter alertmanager"   "Pre-configured scraping targets. Slack/email alerting."
mail     "Mail Server"               "Postfix/Dovecot/SpamAssassin with DKIM"                                          "postfix dovecot spamassassin opendkim opendmarc roundcubemail postfixadmin"                            "postfix dovecot spamassassin opendkim"           "Strict SPF/DKIM/DMARC. 25/465/587/993 open."
dns      "DNS Server"                "Authoritative/recursive DNS with PowerDNS"                                       "bind powerdns pdns-recursor pdns-admin knot nsd ldns"                                                  "named powerdns pdns-recursor"                    "DNSSEC signing. AXFR restricted to slaves."
lb       "Load Balancer"             "HAProxy/Nginx load balancing with SSL termination"                                "haproxy nginx-mainline keepalived ipvsadm ldirectord"                                                  "haproxy nginx keepalived"                        "Health checks. Active-passive failover. Sticky sessions."
storage  "Object/File Storage"       "MinIO/NFS/Samba storage server"                                                  "minio nfs-utils samba samba-client glusterfs rclone"                                                   "minio nfs-server smb"                            "Distributed mode for MinIO. GlusterFS for HA."
cache    "Caching Layer"             "Redis/Memcached/Varnish caching"                                                  "redis memcached varnish nginx-mainline"                                                                 "redis memcached varnish"                         "Tune maxmemory. Redis persistence for production."
k8s      "Kubernetes Node"           "Kubernetes control plane or worker node"                                          "kubelet kubeadm kubectl cri-o kubernetes-cni flannel helm"                                              "kubelet crio"                                    "Join with kubeadm. CNI: flannel/calico/weave."
docker   "Docker Host"              "Container runtime only"                                                          "docker docker-compose containerd runc ctop lazydocker portainer"                                       "docker containerd"                               "Overlay2 storage driver. Log rotation for containers."
ipfs     "IPFS/Web3 Node"            "IPFS/Filecoin/Blockchain node"                                                    "ipfs kubo go-ipfs iptables-bonding wireguard-tools"                                                     "ipfs"                                            "Open 4001/tcp for peering. Pins critical data."
tor      "Tor/Privacy Node"          "Tor relay/bridge, VPN endpoint"                                                   "tor nyx i2pd wireguard-tools openvpn stubby dnscrypt-proxy"                                            "tor i2pd wireguard"                              "Relay: 20Mbps+ recommended. Exit node: legal notice required."
